Domain Code,Domain,Area Code (M49),Area,ISO Currency Code (FAO),Currency,Element Code,Element,Year Code,Year,Months Code,Months,Unit,Value,Flag,Flag Description
"PE","Exchange rates","050","Bangladesh","BDT","Taka","LCU","Local currency units per USD","2025","2025","7021","Annual value","","121.9208374","X","Figure from external organization"
"PE","Exchange rates","050","Bangladesh","BDT","Taka","SLC","Standard local currency units per USD","2025","2025","7021","Annual value","","121.9208374","X","Figure from external organization"
