indicator_id,country_id,year,value,magnitude,qualifier
AIR.1.GLAST.GPIA,BGD,2022,1.177119329731581,,
AIR.1.GLAST.GPIA,BGD,2023,1.173133514602716,,
AIR.1.GLAST.GPIA,BGD,2024,1.159283008545206,,
AIR.1.GLAST.M,BGD,1976,55.4232292175293,,
AIR.1.GLAST.M,BGD,1981,32.60818862915039,,
AIR.1.GLAST.M,BGD,2005,62.09627914428711,,
AIR.1.GLAST.M,BGD,2008,52.70190048217773,,NAT_EST
AIR.1.GLAST.M,BGD,2009,57.73870849609375,,NAT_EST
AIR.1.GLAST.M,BGD,2010,57.73532288632903,,
AIR.1.GLAST.M,BGD,2021,105.2877566786298,,
AIR.1.GLAST.M,BGD,2022,87.65136277510567,,
AIR.1.GLAST.M,BGD,2023,89.12885422715546,,
AIR.1.GLAST.M,BGD,2024,86.44887542685724,,
AIR.2.GPV.GLAST,BGD,1998,46.62152862548828,,
AIR.2.GPV.GLAST,BGD,1999,49.20943069458008,,
AIR.2.GPV.GLAST,BGD,2000,51.7681999206543,,
AIR.2.GPV.GLAST,BGD,2001,56.72866058349609,,
AIR.2.GPV.GLAST,BGD,2002,58.0961799621582,,
AIR.2.GPV.GLAST,BGD,2003,57.64001083374023,,
AIR.2.GPV.GLAST,BGD,2004,53.29109954833984,,
AIR.2.GPV.GLAST,BGD,2005,51.89588928222656,,
AIR.2.GPV.GLAST,BGD,2006,52.23691940307617,,
AIR.2.GPV.GLAST,BGD,2007,53.55712890625,,
AIR.2.GPV.GLAST,BGD,2009,55.41395950317383,,
AIR.2.GPV.GLAST,BGD,2010,51.68493948763705,,
AIR.2.GPV.GLAST,BGD,2011,56.11579162086844,,
AIR.2.GPV.GLAST,BGD,2013,63.23681171659127,,
AIR.2.GPV.GLAST,BGD,2016,70.71364664899693,,
AIR.2.GPV.GLAST,BGD,2017,71.64501190185547,,
AIR.2.GPV.GLAST,BGD,2018,78.24447631835938,,
AIR.2.GPV.GLAST,BGD,2021,76.43583446841295,,
AIR.2.GPV.GLAST,BGD,2022,76.5282941598046,,
AIR.2.GPV.GLAST,BGD,2023,71.36244719038764,,
AIR.2.GPV.GLAST,BGD,2024,73.81118945460919,,
AIR.2.GPV.GLAST.F,BGD,1998,47.41143035888672,,
AIR.2.GPV.GLAST.F,BGD,1999,51.53656005859375,,
AIR.2.GPV.GLAST.F,BGD,2000,54.97343063354492,,
AIR.2.GPV.GLAST.F,BGD,2001,63.85015106201172,,
AIR.2.GPV.GLAST.F,BGD,2002,66.40057373046875,,
AIR.2.GPV.GLAST.F,BGD,2003,65.18602752685547,,
AIR.2.GPV.GLAST.F,BGD,2004,56.41994857788086,,
AIR.2.GPV.GLAST.F,BGD,2005,55.03282165527344,,
AIR.2.GPV.GLAST.F,BGD,2006,55.30112075805664,,
AIR.2.GPV.GLAST.F,BGD,2007,56.4871711730957,,
AIR.2.GPV.GLAST.F,BGD,2009,60.90100860595703,,
AIR.2.GPV.GLAST.F,BGD,2010,56.11349514903989,,
AIR.2.GPV.GLAST.F,BGD,2011,61.83687229564107,,
AIR.2.GPV.GLAST.F,BGD,2013,68.27697037843465,,
AIR.2.GPV.GLAST.F,BGD,2016,77.24711469510574,,
AIR.2.GPV.GLAST.F,BGD,2021,91.41816669637024,,
AIR.2.GPV.GLAST.F,BGD,2022,85.8813019898072,,
AIR.2.GPV.GLAST.F,BGD,2023,81.93414475990728,,
AIR.2.GPV.GLAST.F,BGD,2024,84.73791677763826,,
AIR.2.GPV.GLAST.GPIA,BGD,1998,1.032799959182739,,
AIR.2.GPV.GLAST.GPIA,BGD,1999,1.088879942893982,,
AIR.2.GPV.GLAST.GPIA,BGD,2000,1.114570021629333,,
AIR.2.GPV.GLAST.GPIA,BGD,2001,1.219089984893799,,
AIR.2.GPV.GLAST.GPIA,BGD,2002,1.245270013809204,,
AIR.2.GPV.GLAST.GPIA,BGD,2003,1.227059960365295,,
AIR.2.GPV.GLAST.GPIA,BGD,2004,1.108729958534241,,
AIR.2.GPV.GLAST.GPIA,BGD,2005,1.111860036849976,,
AIR.2.GPV.GLAST.GPIA,BGD,2006,1.108880043029785,,
AIR.2.GPV.GLAST.GPIA,BGD,2007,1.101999998092651,,
AIR.2.GPV.GLAST.GPIA,BGD,2009,1.177670001983643,,
AIR.2.GPV.GLAST.GPIA,BGD,2010,1.155723153331041,,
AIR.2.GPV.GLAST.GPIA,BGD,2011,1.182552993709084,,
AIR.2.GPV.GLAST.GPIA,BGD,2013,1.133717910428632,,
AIR.2.GPV.GLAST.GPIA,BGD,2016,1.166428865578205,,
AIR.2.GPV.GLAST.GPIA,BGD,2021,1.321429062147656,,
AIR.2.GPV.GLAST.GPIA,BGD,2022,1.21065096335687,,
AIR.2.GPV.GLAST.GPIA,BGD,2023,1.247316161467697,,
AIR.2.GPV.GLAST.GPIA,BGD,2024,1.245954221244218,,
AIR.2.GPV.GLAST.M,BGD,1998,45.85636901855469,,
AIR.2.GPV.GLAST.M,BGD,1999,46.95579147338867,,
AIR.2.GPV.GLAST.M,BGD,2000,48.67507171630859,,
AIR.2.GPV.GLAST.M,BGD,2001,49.86135101318359,,
AIR.2.GPV.GLAST.M,BGD,2002,50.11476135253906,,
AIR.2.GPV.GLAST.M,BGD,2003,50.38463973999023,,
AIR.2.GPV.GLAST.M,BGD,2004,50.2852783203125,,
AIR.2.GPV.GLAST.M,BGD,2005,48.87673187255859,,
AIR.2.GPV.GLAST.M,BGD,2006,49.27978897094727,,
AIR.2.GPV.GLAST.M,BGD,2007,50.72570037841797,,
AIR.2.GPV.GLAST.M,BGD,2009,50.08044052124023,,
AIR.2.GPV.GLAST.M,BGD,2010,47.3753247400053,,
AIR.2.GPV.GLAST.M,BGD,2011,50.5483661364655,,
AIR.2.GPV.GLAST.M,BGD,2013,59.14711656903277,,
AIR.2.GPV.GLAST.M,BGD,2016,64.39096502720976,,
AIR.2.GPV.GLAST.M,BGD,2021,62.03371111189792,,
AIR.2.GPV.GLAST.M,BGD,2022,67.79032299131202,,
AIR.2.GPV.GLAST.M,BGD,2023,61.67050658474842,,
AIR.2.GPV.GLAST.M,BGD,2024,63.89626844673686,,
CR.1,BGD,2000,59.58,,
CR.1,BGD,2004,64.14999999999999,,
CR.1,BGD,2006,72.71964263916016,,
CR.1,BGD,2007,67.33,,
CR.1,BGD,2011,74.78202819824219,,
CR.1,BGD,2013,72.23,,
CR.1,BGD,2014,80.01213073730469,,
CR.1,BGD,2019,82.60852813720703,,
CR.1,BGD,2022,88.40389251708984,,
CR.1.ABL,BGD,2011,76.00376129150391,,
CR.1.ABL.F,BGD,2011,81.11189270019531,,
CR.1.ABL.GPIA,BGD,2011,1.120730042457581,,
CR.1.ABL.M,BGD,2011,71.31932830810547,,
CR.1.DIS,BGD,2011,34.41411972045898,,
CR.1.DIS,BGD,2019,84.81,,
CR.1.DIS.F,BGD,2011,37.5473518371582,,
CR.1.DIS.F,BGD,2019,93.5,,
CR.1.DIS.GPIA,BGD,2011,1.147279977798462,,
CR.1.DIS.M,BGD,2011,32.01739120483398,,
CR.1.DIS.M,BGD,2019,77.81,,
CR.1.DPIA,BGD,2011,.4527899920940399,,
CR.1.F,BGD,2000,61.94,,
CR.1.F,BGD,2004,69.17999999999999,,
CR.1.F,BGD,2006,78.15918731689453,,
CR.1.F,BGD,2007,72.13000000000001,,
CR.1.F,BGD,2011,79.43929290771484,,
CR.1.F,BGD,2013,78.59,,
CR.1.F,BGD,2014,84.44126129150391,,
CR.1.F,BGD,2019,89.08248138427734,,
CR.1.F,BGD,2022,92.97843933105469,,
CR.1.F.DPIA,BGD,2011,.462909996509552,,
CR.1.F.LPIA,BGD,2006,.9851899743080139,,
CR.1.F.LPIA,BGD,2011,.9492999911308289,,
CR.1.F.LPIA,BGD,2014,.9916300177574158,,
CR.1.F.LPIA,BGD,2019,1.014690041542053,,
CR.1.F.LPIA,BGD,2022,1.012850046157837,,
CR.1.F.WPIA,BGD,2006,.6938599944114685,,
CR.1.F.WPIA,BGD,2011,.5877299904823303,,
CR.1.F.WPIA,BGD,2014,.739579975605011,,
CR.1.F.WPIA,BGD,2019,.8339099884033203,,
CR.1.F.WPIA,BGD,2022,.9114300012588501,,
CR.1.GPIA,BGD,2000,1.081530570983887,,
CR.1.GPIA,BGD,2004,1.16074013710022,,
CR.1.GPIA,BGD,2006,1.142379999160767,,
CR.1.GPIA,BGD,2007,1.140856742858887,,
CR.1.GPIA,BGD,2011,1.123569965362549,,
CR.1.GPIA,BGD,2013,1.15765368938446,,
CR.1.GPIA,BGD,2014,1.111170053482056,,
CR.1.GPIA,BGD,2019,1.143460035324097,,
CR.1.GPIA,BGD,2022,1.104230046272278,,
CR.1.LPIA,BGD,2000,.867444634437561,,
CR.1.LPIA,BGD,2004,.9098681211471558,,
CR.1.LPIA,BGD,2006,.9513300061225891,,
CR.1.LPIA,BGD,2007,.9670091271400452,,
CR.1.LPIA,BGD,2011,.928820013999939,,
CR.1.LPIA,BGD,2013,.9563125967979431,,
CR.1.LPIA,BGD,2014,.9867100119590759,,
CR.1.LPIA,BGD,2019,.99440997838974,,
CR.1.LPIA,BGD,2022,1.026880025863647,,
CR.1.M,BGD,2000,56.88999999999999,,
CR.1.M,BGD,2004,58.06,,
CR.1.M,BGD,2006,67.03111267089844,,
CR.1.M,BGD,2007,61.97000000000001,,
CR.1.M,BGD,2011,69.62300872802734,,
