indicator_id,country_id,year,type,metadata
ADMI.GRADE2OR3PRIM.MAT,BGD,2015,Source:Data sources,National Student Assessment(2011); National Student Assessment(2013); National Student Assessment(2015)
ADMI.GRADE2OR3PRIM.MAT,BGD,2016,Source:Data sources,National Student Assessment(2013); National Student Assessment(2015)
ADMI.GRADE2OR3PRIM.MAT,BGD,2017,Source:Data sources,National Student Assessment(2013); National Student Assessment(2015); National Student Assessment(2017)
ADMI.GRADE2OR3PRIM.MAT,BGD,2018,Source:Data sources,National Student Assessment(2015); National Student Assessment(2017)
ADMI.GRADE2OR3PRIM.MAT,BGD,2019,Source:Data sources,Multiple Indicator Cluster Surveys 6(2019); National Student Assessment(2015); National Student Assessment(2017); National Student Assessment(2019)
ADMI.GRADE2OR3PRIM.MAT,BGD,2020,Source:Data sources,Multiple Indicator Cluster Surveys 6(2019); National Student Assessment(2017); National Student Assessment(2019)
ADMI.GRADE2OR3PRIM.MAT,BGD,2021,Source:Data sources,Multiple Indicator Cluster Surveys 6(2019); National Student Assessment(2017); National Student Assessment(2019)
ADMI.GRADE2OR3PRIM.MAT,BGD,2022,Source:Data sources,Multiple Indicator Cluster Surveys 6(2019); National Student Assessment(2019); National Student Assessment(2022)
ADMI.GRADE2OR3PRIM.MAT,BGD,2023,Source:Data sources,Multiple Indicator Cluster Surveys 6(2019); National Student Assessment(2019); National Student Assessment(2022)
ADMI.GRADE2OR3PRIM.MAT,BGD,2024,Source:Data sources,Early Language & Literacy and Numeracy Assessment(2024); National Student Assessment(2022)
ADMI.GRADE2OR3PRIM.MAT,BGD,2025,Source:Data sources,Early Language & Literacy and Numeracy Assessment(2024); National Student Assessment(2022)
ADMI.GRADE2OR3PRIM.READ,BGD,2014,Source:Data sources,National Student Assessment(2011); National Student Assessment(2013)
ADMI.GRADE2OR3PRIM.READ,BGD,2015,Source:Data sources,National Student Assessment(2011); National Student Assessment(2013); National Student Assessment(2015)
ADMI.GRADE2OR3PRIM.READ,BGD,2016,Source:Data sources,National Student Assessment(2013); National Student Assessment(2015)
ADMI.GRADE2OR3PRIM.READ,BGD,2017,Source:Data sources,National Student Assessment(2013); National Student Assessment(2015); National Student Assessment(2017)
ADMI.GRADE2OR3PRIM.READ,BGD,2018,Source:Data sources,National Student Assessment(2015); National Student Assessment(2017)
ADMI.GRADE2OR3PRIM.READ,BGD,2019,Source:Data sources,Multiple Indicator Cluster Surveys 6(2019); National Student Assessment(2015); National Student Assessment(2017); National Student Assessment(2019)
ADMI.GRADE2OR3PRIM.READ,BGD,2020,Source:Data sources,Multiple Indicator Cluster Surveys 6(2019); National Student Assessment(2017); National Student Assessment(2019)
ADMI.GRADE2OR3PRIM.READ,BGD,2021,Source:Data sources,Multiple Indicator Cluster Surveys 6(2019); National Student Assessment(2017); National Student Assessment(2019)
ADMI.GRADE2OR3PRIM.READ,BGD,2022,Source:Data sources,Multiple Indicator Cluster Surveys 6(2019); National Student Assessment(2019); National Student Assessment(2022)
ADMI.GRADE2OR3PRIM.READ,BGD,2023,Source:Data sources,Multiple Indicator Cluster Surveys 6(2019); National Student Assessment(2019); National Student Assessment(2022)
ADMI.GRADE2OR3PRIM.READ,BGD,2024,Source:Data sources,Early Language & Literacy and Numeracy Assessment(2024); National Student Assessment(2022)
ADMI.GRADE2OR3PRIM.READ,BGD,2025,Source:Data sources,Early Language & Literacy and Numeracy Assessment(2024); National Student Assessment(2022)
AIR.1.GLAST,BGD,1976,Data Status:Data reporting,POPULATION DATA: UN-DESA World Population Prospects 2024
AIR.1.GLAST,BGD,1976,Source:Data sources,NA
AIR.1.GLAST,BGD,1977,Data Status:Data reporting,POPULATION DATA: UN-DESA World Population Prospects 2024
AIR.1.GLAST,BGD,1977,Source:Data sources,NA
AIR.1.GLAST,BGD,1981,Data Status:Data reporting,POPULATION DATA: UN-DESA World Population Prospects 2024
AIR.1.GLAST,BGD,1981,Source:Data sources,NA
AIR.1.GLAST,BGD,1989,Data Status:Data reporting,POPULATION DATA: UN-DESA World Population Prospects 2024
AIR.1.GLAST,BGD,1989,Source:Data sources,NA
AIR.1.GLAST,BGD,2005,Data Status:Data reporting,POPULATION DATA: UN-DESA World Population Prospects 2024
AIR.1.GLAST,BGD,2005,Source:Data sources,Country's submission to UIS SFE Questionnaire A
AIR.1.GLAST,BGD,2008,Data Status:Data reporting,POPULATION DATA: UN-DESA World Population Prospects 2024
AIR.1.GLAST,BGD,2008,Source:Data sources,Country's submission to UIS SFE Questionnaire A
AIR.1.GLAST,BGD,2009,Data Status:Data reporting,POPULATION DATA: UN-DESA World Population Prospects 2024
AIR.1.GLAST,BGD,2009,Source:Data sources,Country's submission to UIS SFE Questionnaire A
AIR.1.GLAST,BGD,2010,Source:Data sources,Source: UIS Dynamic template based on UIS Education Survey
AIR.1.GLAST,BGD,2021,Source:Data sources,Source: UIS Dynamic template based on data provided by country
AIR.1.GLAST,BGD,2022,Source:Data sources,Source: UIS Dynamic template based on data provided by country
AIR.1.GLAST,BGD,2023,Source:Data sources,Source: UIS Dynamic template based on data provided by country
AIR.1.GLAST,BGD,2024,Source:Data sources,Source: UIS Dynamic template based on data provided by country
AIR.1.GLAST.F,BGD,1976,Data Status:Data reporting,POPULATION DATA: UN-DESA World Population Prospects 2024
AIR.1.GLAST.F,BGD,1976,Source:Data sources,NA
AIR.1.GLAST.F,BGD,1981,Data Status:Data reporting,POPULATION DATA: UN-DESA World Population Prospects 2024
AIR.1.GLAST.F,BGD,1981,Source:Data sources,NA
AIR.1.GLAST.F,BGD,2005,Data Status:Data reporting,POPULATION DATA: UN-DESA World Population Prospects 2024
AIR.1.GLAST.F,BGD,2005,Source:Data sources,Country's submission to UIS SFE Questionnaire A
AIR.1.GLAST.F,BGD,2008,Data Status:Data reporting,POPULATION DATA: UN-DESA World Population Prospects 2024
AIR.1.GLAST.F,BGD,2008,Source:Data sources,Country's submission to UIS SFE Questionnaire A
AIR.1.GLAST.F,BGD,2009,Data Status:Data reporting,POPULATION DATA: UN-DESA World Population Prospects 2024
AIR.1.GLAST.F,BGD,2009,Source:Data sources,Country's submission to UIS SFE Questionnaire A
AIR.1.GLAST.F,BGD,2010,Source:Data sources,Source: UIS Dynamic template based on UIS Education Survey
AIR.1.GLAST.F,BGD,2021,Source:Data sources,Source: UIS Dynamic template based on data provided by country
AIR.1.GLAST.F,BGD,2022,Source:Data sources,Source: UIS Dynamic template based on data provided by country
AIR.1.GLAST.F,BGD,2023,Source:Data sources,Source: UIS Dynamic template based on data provided by country
AIR.1.GLAST.F,BGD,2024,Source:Data sources,Source: UIS Dynamic template based on data provided by country
AIR.1.GLAST.GPIA,BGD,1976,Data Status:Data reporting,POPULATION DATA: UN-DESA World Population Prospects 2024
AIR.1.GLAST.GPIA,BGD,1976,Source:Data sources,NA
AIR.1.GLAST.GPIA,BGD,1981,Data Status:Data reporting,POPULATION DATA: UN-DESA World Population Prospects 2024
AIR.1.GLAST.GPIA,BGD,1981,Source:Data sources,NA
AIR.1.GLAST.GPIA,BGD,2005,Data Status:Data reporting,POPULATION DATA: UN-DESA World Population Prospects 2024
AIR.1.GLAST.GPIA,BGD,2005,Source:Data sources,Country's submission to UIS SFE Questionnaire A
AIR.1.GLAST.GPIA,BGD,2008,Data Status:Data reporting,POPULATION DATA: UN-DESA World Population Prospects 2024
AIR.1.GLAST.GPIA,BGD,2008,Source:Data sources,Country's submission to UIS SFE Questionnaire A
AIR.1.GLAST.GPIA,BGD,2009,Data Status:Data reporting,POPULATION DATA: UN-DESA World Population Prospects 2024
AIR.1.GLAST.GPIA,BGD,2009,Source:Data sources,Country's submission to UIS SFE Questionnaire A
AIR.1.GLAST.GPIA,BGD,2010,Source:Data sources,Source: UIS Dynamic template based on UIS Education Survey
AIR.1.GLAST.GPIA,BGD,2021,Source:Data sources,Source: UIS Dynamic template based on data provided by country
AIR.1.GLAST.GPIA,BGD,2022,Source:Data sources,Source: UIS Dynamic template based on data provided by country
AIR.1.GLAST.GPIA,BGD,2023,Source:Data sources,Source: UIS Dynamic template based on data provided by country
AIR.1.GLAST.GPIA,BGD,2024,Source:Data sources,Source: UIS Dynamic template based on data provided by country
AIR.1.GLAST.M,BGD,1976,Data Status:Data reporting,POPULATION DATA: UN-DESA World Population Prospects 2024
AIR.1.GLAST.M,BGD,1976,Source:Data sources,NA
AIR.1.GLAST.M,BGD,1981,Data Status:Data reporting,POPULATION DATA: UN-DESA World Population Prospects 2024
AIR.1.GLAST.M,BGD,1981,Source:Data sources,NA
AIR.1.GLAST.M,BGD,2005,Data Status:Data reporting,POPULATION DATA: UN-DESA World Population Prospects 2024
AIR.1.GLAST.M,BGD,2005,Source:Data sources,Country's submission to UIS SFE Questionnaire A
AIR.1.GLAST.M,BGD,2008,Data Status:Data reporting,POPULATION DATA: UN-DESA World Population Prospects 2024
AIR.1.GLAST.M,BGD,2008,Source:Data sources,Country's submission to UIS SFE Questionnaire A
AIR.1.GLAST.M,BGD,2009,Data Status:Data reporting,POPULATION DATA: UN-DESA World Population Prospects 2024
AIR.1.GLAST.M,BGD,2009,Source:Data sources,Country's submission to UIS SFE Questionnaire A
AIR.1.GLAST.M,BGD,2010,Source:Data sources,Source: UIS Dynamic template based on UIS Education Survey
AIR.1.GLAST.M,BGD,2021,Source:Data sources,Source: UIS Dynamic template based on data provided by country
AIR.1.GLAST.M,BGD,2022,Source:Data sources,Source: UIS Dynamic template based on data provided by country
AIR.1.GLAST.M,BGD,2023,Source:Data sources,Source: UIS Dynamic template based on data provided by country
AIR.1.GLAST.M,BGD,2024,Source:Data sources,Source: UIS Dynamic template based on data provided by country
AIR.2.GPV.GLAST,BGD,1998,Data Status:Data reporting,POPULATION DATA: UN-DESA World Population Prospects 2024
AIR.2.GPV.GLAST,BGD,1998,Source:Data sources,NA
AIR.2.GPV.GLAST,BGD,1999,Data Status:Data reporting,POPULATION DATA: UN-DESA World Population Prospects 2024
AIR.2.GPV.GLAST,BGD,1999,Source:Data sources,Country's submission to UIS SFE Questionnaire A
AIR.2.GPV.GLAST,BGD,2000,Data Status:Data reporting,POPULATION DATA: UN-DESA World Population Prospects 2024
AIR.2.GPV.GLAST,BGD,2000,Source:Data sources,Country's submission to UIS SFE Questionnaire A
AIR.2.GPV.GLAST,BGD,2001,Data Status:Data reporting,POPULATION DATA: UN-DESA World Population Prospects 2024
AIR.2.GPV.GLAST,BGD,2001,Source:Data sources,Country's submission to UIS SFE Questionnaire A
AIR.2.GPV.GLAST,BGD,2002,Data Status:Data reporting,POPULATION DATA: UN-DESA World Population Prospects 2024
AIR.2.GPV.GLAST,BGD,2002,Source:Data sources,Country's submission to UIS SFE Questionnaire A
AIR.2.GPV.GLAST,BGD,2003,Data Status:Data reporting,POPULATION DATA: UN-DESA World Population Prospects 2024
AIR.2.GPV.GLAST,BGD,2003,Source:Data sources,Country's submission to UIS SFE Questionnaire A
AIR.2.GPV.GLAST,BGD,2004,Data Status:Data reporting,POPULATION DATA: UN-DESA World Population Prospects 2024
