service_access_id,area_id,year,indicator_id,service_category,value
127,1,2022,31,National grid,97
128,1,2022,31,Solar,1
129,1,2022,31,Other electricity source,0
130,1,2022,31,No electricity,0
131,2,2022,31,National grid,96
132,2,2022,31,Solar,2
133,2,2022,31,Other electricity source,0
134,2,2022,31,No electricity,0
135,3,2022,31,National grid,93
136,3,2022,31,Solar,5
137,3,2022,31,Other electricity source,0
138,3,2022,31,No electricity,1
139,4,2022,31,National grid,99
140,4,2022,31,Solar,0
141,4,2022,31,Other electricity source,0
142,4,2022,31,No electricity,0
143,5,2022,31,National grid,99
144,5,2022,31,Solar,0
145,5,2022,31,Other electricity source,0
146,5,2022,31,No electricity,0
147,6,2022,31,National grid,98
148,6,2022,31,Solar,0
149,6,2022,31,Other electricity source,0
150,6,2022,31,No electricity,0
151,7,2022,31,National grid,98
152,7,2022,31,Solar,0
153,7,2022,31,Other electricity source,0
154,7,2022,31,No electricity,0
155,8,2022,31,National grid,97
156,8,2022,31,Solar,0
157,8,2022,31,Other electricity source,0
158,8,2022,31,No electricity,1
159,9,2022,31,National grid,97
160,9,2022,31,Solar,0
161,9,2022,31,Other electricity source,0
162,9,2022,31,No electricity,1
