poverty_id,area_id,survey_year,locality,indicator_id,poverty_line_type,household_size_group,value
101,2,2022,Urban,38,Lower poverty line,All households,0.99
102,2,2022,Total,39,Lower poverty line,All households,0.55
103,2,2022,Rural,39,Lower poverty line,All households,0.63
104,2,2022,Urban,39,Lower poverty line,All households,0.25
105,3,2022,Total,38,Lower poverty line,All households,0.98
106,3,2022,Rural,38,Lower poverty line,All households,1.2
107,3,2022,Urban,38,Lower poverty line,All households,0.5
108,3,2022,Total,39,Lower poverty line,All households,0.27
109,3,2022,Rural,39,Lower poverty line,All households,0.33
110,3,2022,Urban,39,Lower poverty line,All households,0.14
111,4,2022,Total,38,Lower poverty line,All households,0.36
112,4,2022,Rural,38,Lower poverty line,All households,0.23
113,4,2022,Urban,38,Lower poverty line,All households,0.48
114,4,2022,Total,39,Lower poverty line,All households,0.07
115,4,2022,Rural,39,Lower poverty line,All households,0.05
116,4,2022,Urban,39,Lower poverty line,All households,0.1
117,5,2022,Total,38,Lower poverty line,All households,0.46
118,5,2022,Rural,38,Lower poverty line,All households,0.41
119,5,2022,Urban,38,Lower poverty line,All households,0.62
120,5,2022,Total,39,Lower poverty line,All households,0.12
121,5,2022,Rural,39,Lower poverty line,All households,0.1
122,5,2022,Urban,39,Lower poverty line,All households,0.18
123,6,2022,Total,38,Lower poverty line,All households,1.92
124,6,2022,Rural,38,Lower poverty line,All households,2.02
125,6,2022,Urban,38,Lower poverty line,All households,1.5
126,6,2022,Total,39,Lower poverty line,All households,0.6
127,6,2022,Rural,39,Lower poverty line,All households,0.65
128,6,2022,Urban,39,Lower poverty line,All households,0.4
129,7,2022,Total,38,Lower poverty line,All households,0.93
130,7,2022,Rural,38,Lower poverty line,All households,1.13
131,7,2022,Urban,38,Lower poverty line,All households,0.27
132,7,2022,Total,39,Lower poverty line,All households,0.24
133,7,2022,Rural,39,Lower poverty line,All households,0.3
134,7,2022,Urban,39,Lower poverty line,All households,0.04
135,8,2022,Total,38,Lower poverty line,All households,1.73
136,8,2022,Rural,38,Lower poverty line,All households,1.74
137,8,2022,Urban,38,Lower poverty line,All households,1.71
138,8,2022,Total,39,Lower poverty line,All households,0.47
139,8,2022,Rural,39,Lower poverty line,All households,0.46
140,8,2022,Urban,39,Lower poverty line,All households,0.49
141,9,2022,Total,38,Lower poverty line,All households,0.62
142,9,2022,Rural,38,Lower poverty line,All households,0.7
143,9,2022,Urban,38,Lower poverty line,All households,0.24
144,9,2022,Total,39,Lower poverty line,All households,0.12
145,9,2022,Rural,39,Lower poverty line,All households,0.13
146,9,2022,Urban,39,Lower poverty line,All households,0.07
147,1,2016,Total,38,Upper poverty line,All households,5
148,1,2016,Rural,38,Upper poverty line,All households,5.4
149,1,2016,Urban,38,Upper poverty line,All households,3.9
150,1,2016,Total,39,Upper poverty line,All households,1.5
151,1,2016,Rural,39,Upper poverty line,All households,1.7
152,1,2016,Urban,39,Upper poverty line,All households,1.2
153,2,2016,Total,38,Upper poverty line,All households,5.5
154,2,2016,Rural,38,Upper poverty line,All households,5.1
155,2,2016,Urban,38,Upper poverty line,All households,7.6
156,2,2016,Total,39,Upper poverty line,All households,1.8
157,2,2016,Rural,39,Upper poverty line,All households,1.6
158,2,2016,Urban,39,Upper poverty line,All households,2.9
159,3,2016,Total,38,Upper poverty line,All households,3.5
160,3,2016,Rural,38,Upper poverty line,All households,3.8
161,3,2016,Urban,38,Upper poverty line,All households,2.9
162,3,2016,Total,39,Upper poverty line,All households,1
163,3,2016,Rural,39,Upper poverty line,All households,1.1
164,3,2016,Urban,39,Upper poverty line,All households,0.8
165,4,2016,Total,38,Upper poverty line,All households,3.2
166,4,2016,Rural,38,Upper poverty line,All households,3.9
167,4,2016,Urban,38,Upper poverty line,All households,2.4
168,4,2016,Total,39,Upper poverty line,All households,0.9
169,4,2016,Rural,39,Upper poverty line,All households,1.2
170,4,2016,Urban,39,Upper poverty line,All households,0.7
171,5,2016,Total,38,Upper poverty line,All households,5.2
172,5,2016,Rural,38,Upper poverty line,All households,5
173,5,2016,Urban,38,Upper poverty line,All households,5.7
174,5,2016,Total,39,Upper poverty line,All households,1.5
175,5,2016,Rural,39,Upper poverty line,All households,1.4
176,5,2016,Urban,39,Upper poverty line,All households,1.7
177,6,2016,Total,38,Upper poverty line,All households,6.4
178,6,2016,Rural,38,Upper poverty line,All households,6.2
179,6,2016,Urban,38,Upper poverty line,All households,7.7
180,6,2016,Total,39,Upper poverty line,All households,1.9
181,6,2016,Rural,39,Upper poverty line,All households,1.7
182,6,2016,Urban,39,Upper poverty line,All households,2.7
183,7,2016,Total,38,Upper poverty line,All households,5.6
184,7,2016,Rural,38,Upper poverty line,All households,5.9
185,7,2016,Urban,38,Upper poverty line,All households,4.2
186,7,2016,Total,39,Upper poverty line,All households,1.6
187,7,2016,Rural,39,Upper poverty line,All households,1.8
188,7,2016,Urban,39,Upper poverty line,All households,1.2
189,8,2016,Total,38,Upper poverty line,All households,11.9
190,8,2016,Rural,38,Upper poverty line,All households,12.1
191,8,2016,Urban,38,Upper poverty line,All households,10.6
192,8,2016,Total,39,Upper poverty line,All households,4.2
193,8,2016,Rural,39,Upper poverty line,All households,4.2
194,8,2016,Urban,39,Upper poverty line,All households,3.8
195,9,2016,Total,38,Upper poverty line,All households,2.6
196,9,2016,Rural,38,Upper poverty line,All households,2.4
197,9,2016,Urban,38,Upper poverty line,All households,3.8
198,9,2016,Total,39,Upper poverty line,All households,0.7
199,9,2016,Rural,39,Upper poverty line,All households,0.6
200,9,2016,Urban,39,Upper poverty line,All households,1.2
201,1,2016,Total,38,Lower poverty line,All households,2.3
202,1,2016,Rural,38,Lower poverty line,All households,2.6
203,1,2016,Urban,38,Lower poverty line,All households,1.3
204,1,2016,Total,39,Lower poverty line,All households,0.6
205,1,2016,Rural,39,Lower poverty line,All households,0.7
206,1,2016,Urban,39,Lower poverty line,All households,0.4
207,2,2016,Total,38,Lower poverty line,All households,2.7
208,2,2016,Rural,38,Lower poverty line,All households,2.7
209,2,2016,Urban,38,Lower poverty line,All households,2.6
210,2,2016,Total,39,Lower poverty line,All households,0.8
211,2,2016,Rural,39,Lower poverty line,All households,0.8
212,2,2016,Urban,39,Lower poverty line,All households,0.9
213,3,2016,Total,38,Lower poverty line,All households,1.5
214,3,2016,Rural,38,Lower poverty line,All households,1.7
215,3,2016,Urban,38,Lower poverty line,All households,1.1
216,3,2016,Total,39,Lower poverty line,All households,0.4
217,3,2016,Rural,39,Lower poverty line,All households,0.4
218,3,2016,Urban,39,Lower poverty line,All households,0.3
219,4,2016,Total,38,Lower poverty line,All households,1.2
220,4,2016,Rural,38,Lower poverty line,All households,1.9
221,4,2016,Urban,38,Lower poverty line,All households,0.5
222,4,2016,Total,39,Lower poverty line,All households,0.3
223,4,2016,Rural,39,Lower poverty line,All households,0.5
224,4,2016,Urban,39,Lower poverty line,All households,0.1
225,5,2016,Total,38,Lower poverty line,All households,1.9
226,5,2016,Rural,38,Lower poverty line,All households,2
227,5,2016,Urban,38,Lower poverty line,All households,1.7
228,5,2016,Total,39,Lower poverty line,All households,0.5
229,5,2016,Rural,39,Lower poverty line,All households,0.5
230,5,2016,Urban,39,Lower poverty line,All households,0.5
231,6,2016,Total,38,Lower poverty line,All households,2.8
232,6,2016,Rural,38,Lower poverty line,All households,2.9
233,6,2016,Urban,38,Lower poverty line,All households,2.5
234,6,2016,Total,39,Lower poverty line,All households,0.7
235,6,2016,Rural,39,Lower poverty line,All households,0.7
236,6,2016,Urban,39,Lower poverty line,All households,0.7
237,7,2016,Total,38,Lower poverty line,All households,2.3
238,7,2016,Rural,38,Lower poverty line,All households,2.5
239,7,2016,Urban,38,Lower poverty line,All households,1.6
240,7,2016,Total,39,Lower poverty line,All households,0.6
241,7,2016,Rural,39,Lower poverty line,All households,0.7
242,7,2016,Urban,39,Lower poverty line,All households,0.4
243,8,2016,Total,38,Lower poverty line,All households,6.3
244,8,2016,Rural,38,Lower poverty line,All households,6.4
245,8,2016,Urban,38,Lower poverty line,All households,5.6
246,8,2016,Total,39,Lower poverty line,All households,2
247,8,2016,Rural,39,Lower poverty line,All households,2
248,8,2016,Urban,39,Lower poverty line,All households,1.8
249,9,2016,Total,38,Lower poverty line,All households,1.8
250,9,2016,Rural,38,Lower poverty line,All households,1.8
251,9,2016,Urban,38,Lower poverty line,All households,1.7
252,9,2016,Total,39,Lower poverty line,All households,0.4
253,9,2016,Rural,39,Lower poverty line,All households,0.4
254,9,2016,Urban,39,Lower poverty line,All households,0.4
